P37,道路构造物及附属设施性质注记,道路构造物及附属设施性质注记 绘制命令,道路交通设施,CmDlgzwXzzj,道路构造物及附属设施性质注记.png
Q1,船码头,船码头 绘制命令,水运及其他交通设施,CmChuanmatou,船码头.png
Q2,水运港客运站符号,水运港客运站符号 绘制命令,水运及其他交通设施,CmSygKyz,水运港客运站符号.png
Q3,依比例固定顺岸码头,依比例固定顺岸码头 绘制命令,水运及其他交通设施,CmYblGdsaMt,依比例固定顺岸码头.png
Q4,不依比例固定顺岸码头,不依比例固定顺岸码头 绘制命令,水运及其他交通设施,CmByblGdsaMt,不依比例固定顺岸码头.png
Q5,依比例固定堤坝码头,依比例固定堤坝码头 绘制命令,水运及其他交通设施,CmYblGddbMt,依比例固定堤坝码头.png
Q6,不依比例固定堤坝码头,不依比例固定堤坝码头 绘制命令,水运及其他交通设施,CmByblGddbMt,不依比例固定堤坝码头.png
Q7,栈桥式码头,栈桥式码头 绘制命令,水运及其他交通设施,CmZqsMt,栈桥式码头.png
Q8,浮码头,浮码头 绘制命令,水运及其他交通设施,CmFumatou,浮码头.png
Q9,干船坞,干船坞 绘制命令,水运及其他交通设施,CmGcy,干船坞.png
Q10,停泊场,停泊场 绘制命令,水运及其他交通设施,CmTbc,停泊场.png
Q11,灯塔,灯塔 绘制命令,水运及其他交通设施,CmDengta,灯塔.png
Q12,灯桩,灯桩 绘制命令,水运及其他交通设施,CmDengzhuang,灯桩.png
Q13,灯船,灯船 绘制命令,水运及其他交通设施,CmDengchuan,灯船.png
Q14,浮标,浮标 绘制命令,水运及其他交通设施,CmFubiao,浮标.png
Q15,岸标、立标,岸标、立标 绘制命令,水运及其他交通设施,CmAbLb,岸标、立标.png
Q16,信号杆,信号杆 绘制命令,水运及其他交通设施,CmXinhaogan,信号杆.png
Q17,系船浮筒,系船浮筒 绘制命令,水运及其他交通设施,CmJcft,系船浮筒.png
Q18,露出的沉船,露出的沉船 绘制命令,水运及其他交通设施,CmLccc,露出的沉船.png
Q19,淹没的沉船,淹没的沉船 绘制命令,水运及其他交通设施,CmYmcc,淹没的沉船.png
Q20,水运设施名称注记,水运设施名称注记 绘制命令,水运及其他交通设施,CmSyssMczj,水运设施名称注记.png
Q21,汽车渡口,汽车渡口 绘制命令,水运及其他交通设施,CmQcdk,汽车渡口.png
Q22,人渡口,人渡口 绘制命令,水运及其他交通设施,CmRdk,人渡口.png
Q23,其他交通设施名称注记,其他交通设施名称注记 绘制命令,水运及其他交通设施,CmQtjtssMczj,其他交通设施名称注记.png
Q24,其他交通设施性质注记,其他交通设施性质注记 绘制命令,水运及其他交通设施,CmQtjtssXzzj,其他交通设施性质注记.png
R1,架空的高压输电线,架空的高压输电线 绘制命令,电力及通信设施,CmJkGySdx,架空的高压输电线.png
R2,输电线入地口,输电线入地口 绘制命令,电力及通信设施,CmSdxRdk,输电线入地口.png
R3,变压站外墙,变压站外墙 绘制命令,电力及通信设施,CmByzWq,变压站外墙.png
R4,变压站符号,变压站符号 绘制命令,电力及通信设施,CmByzFh,变压站符号.png
R5,风力发电站,风力发电站 绘制命令,电力及通信设施,CmFlfdz,风力发电站.png
R6,输电线注记,输电线注记 绘制命令,电力及通信设施,CmSdxZj,输电线注记.png
R7,地上的通信线,地上的通信线 绘制命令,电力及通信设施,CmDsTxx,地上的通信线.png
R8,地下的通信线,地下的通信线 绘制命令,电力及通信设施,CmDxTxx,地下的通信线.png
R9,通信线入地口,通信线入地口 绘制命令,电力及通信设施,CmTxxRdk,通信线入地口.png
R10,通信线性质注记,通信线性质注记 绘制命令,电力及通信设施,CmTxxXzzj,通信线性质注记.png
S1,地上油管道,地上油管道 绘制命令,油气水设施,CmDsYgd,地上油管道.png
S2,地下油管道,地下油管道 绘制命令,油气水设施,CmDxYgd,地下油管道.png
S3,油管道出入口,油管道出入口 绘制命令,油气水设施,CmYgdRdk,油管道出入口.png
S4,架空的油管道,架空的油管道 绘制命令,油气水设施,CmJkYgd,架空的油管道.png
S5,地上气管道,地上气管道 绘制命令,油气水设施,CmDsQgd,地上气管道.png
S6,地下气管道,地下气管道 绘制命令,油气水设施,CmDxQgd,地下气管道.png
S7,气管道出入口,气管道出入口 绘制命令,油气水设施,CmQgdRdk,气管道出入口.png
